,Project Name,Project Description,City,Local,Project Type,Bid Type,Design Type,Estimator,DEPT,Bid Status, Base Bid 
151,Blizzard B2 Audit,Office Electrical Audit,irvine, 441 OC , TI , Select Bid List , Design/ Assist , Jeff S , P.M. ,Awarded,10752
152,Blizzard B21 Audit,Office Electrical Audit,Irvine, 441 OC , TI , Select Bid List , Design/ Assist , Jeff S , P.M. ,Awarded,8818
153,"B|Braun Medical, Ontario ",Added power/Lighting/Heaters,Ontario, 441 OC , TI , Select Bid List , Design/Build , Brian , S.P. ,Awarded,27161
154,Netflix CUE,Office Tenant Improvement,Los Angeles, 11 LA , TI , Select Bid List , Engineered , Jeff P. , Est. ,Lost,4760164
156,Bob Briggs Fire job,Budget for Fire job repair,Laguna Hills, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,13650
158,AAA Harbor branch add outlets,Add 2 outlets for TV ,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,990
163,HHI Womanology Licensing,MOB Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Jeff P. , Est. ,Lost,13843
164,"B|Braun Medical, Irvine",Catwalk Exit Sign Upgrade,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,14334
165,Space X,Building HT-21 Lox Vent,Hawthorne, 441 OC , Industrial , Select Bid List , Engineered , Brian , S.P. ,Lost,89731
166,Canyon Springs MOB,Two Story MOB Building,Riverside, 440 RS , Comercial , Budget , Engineered , Frank , S.P. ,Lost,672570
168,AAA Mission viejo connect new whip for furiture,Connect new furniture whip,Mission Viejo, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,710
169,B|Braun Medical,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Design/ Assist , Brian , S.P. ,Awarded,9684
170,AAA Woodland Hills replace parking lot pole,Replace parking lot pole,Woodland Hills, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3050
171,AAA Long Beach furniture reconnect and new circuit,New Circuits and furniture reconnect,Long Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1970
172,Destche Bank Santa Ana Breaker replacemetn,Replace breaker on Saturday,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1100
173,Spectrum Giant Wheel Upgrade,Support Labor for Controls Upgrade,Irvine, 441 OC , Specialty , Negotiated , Engineered , Frank , Est. ,Awarded,16331
174,Crown Commerce Center,Monumant Sign Program,Mission Viejo, 441 OC , Comercial , Select Bid List , Design/ Assist , Brian , S.P. ,Lost,17965
175,Loma Linda Oncology Pharmacy Remodel,Remodel of Existing Pharmacy,Loma Linda, 440 RS , TI , Select Bid List , Engineered , Frank , Est. ,Awarded,32163
176,HHNB CATH LABS UPS,Add power to new UPS in Cath Labs 1-4,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Bill  , P.M. ,Awarded,157436
177,Party City Title 24,Chino,Chino, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1500
178,Space X,Paint Booth A & B Shipping Container,Hawthorne, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Lost,8451
179,B-Braun Medical,Light retrofit IT computer repair lab,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Lost,2330
183,B|Braun Medical,CFM 4,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,Awarded,20000
185,B|Braun Medical,Office Remodel - Storage Rm 1322,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,5658
186,Good Shephard Lutheran Parking Lot replacement,Replace parking lot lighting,Irvine, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,48210
187,B|Braun Medical,Metrology Remodel,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,14000
188,B|Braun Medical,Cool Tower,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,15000
190,Hoag Tustin Legacy MRI/CT Suite,MRI/CT Suite Tenant Improvement,Tustin, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Awarded,161527
191,Vyaire 510 & 520 TI,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Awarded,3277873
193,B|Braun Medical,Power for load shed,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,6413
197,TV outlet for Spectrum office in Cerritos Tower,Add one outlet for TV,Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,600
198,Ladera Sport outlet in server room,Add L6-30 outlet in server room,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1670
199,17901 Von Karman Switchgear PM,Preventitive Maintenance,Irvine, 441 OC , Comercial , Competitive , Design/Build , Frank , Est. ,Lost,27646
200,Blizzard B3-RR Upgrade-1st & 2nd Flr.,Office Tenant Improvement,irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Awarded,33435
202,FVRMC AAAH OSHPD 3 Upgrades,Surgical Suite Remodel,Fountain Valley, 441 OC , Hospital , Competitive , Engineered , Frank , Est. ,Lost,69439
203,The Trade Desk,Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,Lost,226054
205,B|Braun Medical,Strut Stands,Irvine, 441 OC , TI , Select Bid List , Design/Build , Brian , S.P. ,Awarded,7588
211,"ACBCI - Museum, Spa & Trail ",New Construction Museum & Spa,Palm Springs, 477 SB , Site , Select Bid List , Engineered , Frank , Est. ,Lost,9487326
212,"B|Braun Medical, Load study panel PPD",Load Study Panel PPD,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,Awarded,800
213,AAA add new outlets and circuit 1st floor,add outlets for 1st floor per walk,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1977
215,R&D Incubator,Relocate,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , Est. ,Awarded,3910
216,"B|Braun Medical, Boiler #5 replacement",Boiler #5 Replacement,Irvine, 441 OC , Industrial , Competitive , Engineered , Brian , S.P. ,Lost,232447
217,Scripps Midroll,Conduit for Security system,Los Angeles, 11 LA , TI , Select Bid List , Design/Build , Jeff P. , Est. ,Awarded,8024
218,"B|Braun Medical,  pedestrian lighting phase 2",Pedestrian Lighting phase 2,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,16958
219,Fire pump drawing assit for Redhawk,Assit with city drawings,Orange , 441 OC , TI , Negotiated , Design/ Assist , Doyle , S.P. ,Awarded,800
221,"Boardwalk PCO 1008, Lobby Wall Revisions",Office Tenant Improvement,Irvine, 441 OC , TI , Negotiated , Engineered , Frank , Est. ,Awarded,7742
223,Boardwalk North AV Room Exhaust,Add EF to AV Room,Irvine, 441 OC , TI , Negotiated , Engineered , Frank , Est. ,Awarded,2493
224,"B|Braun Medical, Main Hallway LED lamp retrofit",Main Hallway LED lamp retrofit,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,5796
225,"B|Braun Medical, E3 lamp replacement",E3 Lamp Replacement,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,7880
227,B|Braun Medical,Lamp Replacement,Irvine, 441 OC , Comercial , Negotiated , Design/Build , Brian , S.P. ,Awarded,3000
234,Car wash service replacement ,Replace service,Garden Grove, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,52490
235,Boy Scouts Fire Damage,Fire damage replacement work,Orange , 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,19500
243,B|Braun Medical - Integrated Interiors - TI,Engineering Mezzanine,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,9873
244,Blizzard B10 - Security,Office Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Lost,22863
245,Malcom Intl for Datacomm,Add quad outlet and #6 conductor,Corona, 441 OC , TI , Negotiated , Design/ Assist , Doyle , S.P. ,Awarded,500
246,Old Republic,Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,Lost,90033
247,"B|Braun Medical, HVLD Excel Overwrap 2-4-5",HVLD Excel Overwrap 2-4-5,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,58480
250,Chapman Fountain Lighting Installation,Replace lights and power supplies,Orange , 441 OC , Site , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,25000
251,Vyaire Generator Removal,Remove EM Generator,Palm Springs, 477 SB , Site , Budget , Design/Build , Frank , Est. ,Lost,7727
256,OCC Temp power oultet install and stub,Sleeve and temp outlets install,Costa Mesa, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6456
257,New circuit for sign Paragon Mgmt,New circuit and time clock for sign,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1988
259,"B|Braun Medical, Load Shed wire trace","B|Braun Medical, Load Shed wire trace",Irvine, 11 LA , TI , Select Bid List , Design/Build , Brian , S.P. ,Awarded,3314
260,Local 441 OCTT Exit signs and E ballast,Replace exit signs and E ballast,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1800
263,Baxter Manufacturing Room & Dust Collection Unit,Bio-Pharm Tenant Improvement,Irvine, 441 OC , Industrial , Budget , Engineered , Frank , Est. ,Lost,145483
266,Arena Fitness Center,Gym Tenant Improvement,Anaheim, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Awarded,226285
267,Landsea Holdings,Office Tenant Improvement,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Awarded,114251
268,Blizzard B21 Classic Games,Office Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Lost,169065
270,Verizon Service Upgrade Project,Power upgrade,Mission Viejo, 441 OC , TI , Select Bid List , Engineered , Brian , S.P. ,Awarded,85560
271,Jacobs Pasadena,Office Tenant Improvement,Pasadena, 11 LA , TI , Select Bid List , Engineered , Steve  , Est. ,Lost,146842
273,Epson Conference room data and lighting,New lights and Cisco boxes,Long Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,7000
276,9740/9750 Irvine Blvd Renovation,Renovate two existing buildings,Irvine, 441 OC , Comercial , Select Bid List , Engineered , Steve  , Est. ,Lost,331709
279,Ladera Sport Conference room outlets,2 new outlets in conference room,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1100
280,Ladera Sport Café outlet rework,Rework outlets in Café,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1250
282,Masimo Demo Center,OR Demo Room,Irvine, 441 OC , TI , Negotiated , Engineered , Frank , Est. ,Awarded,194907
283,Deustche Bank 2 oultets in server room,2 L5-20 outlets in server room,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,8820
285,Epson Cisco boxes and 2 lights for Jim Scarp HBC,2 conference room boxes and power,Long Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,7080
287,DMV Office Quarters Suite 325 & 350,Office Tenant Improvement,Cerritos, 441 OC , TI , Competitive , Design/Build , Frank , Est. ,Lost,207629
288,"B|Braun Medical, Tustin Warehouse",Add Outlets,Tustin, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,13347
289,B|Braun Medical Ventilation Upgrade Project,B|Braun Medical Ventilation Upgrade Project,Irvine, 441 OC , Industrial , Competitive , Engineered , Brian , S.P. ,Lost,168795
290,Berkley Point,Office Tenant Improvement,Newport Beach, 441 OC , TI , Competitive , Engineered , Steve  , Est. ,Lost,142733
291,AAA new circuits for existing outlets,Add new circuits for existing outlets,Tustin, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3580
292,Bob Montgomery power for new sump pumps,Add new power for sumps,Laguna Niguel, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3800
293,Youngs Print Shop outlets,2 new outlets in print shop storage,Tustin, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,700
294,Lakeshore towers camera cable and install,Install cameras and cable,Irvine, 441 OC , Parking Structure , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,29705
295,Kasier Bellflower Temp Power,Temp power floors 6-8 and roof,Bellflower, 441 OC , Hospital , Select Bid List , Design/ Assist , Jeff S , P.M. ,Awarded,26207
299,FVRH temp genest for 2 services,2 temp gensets,Fountain Valley, 441 OC , Hospital , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,13745
300,LPA Office TI,Office Tenant Improvement,Irvine, 441 OC , TI , Budget , Engineered , Frank , Est. ,Lost,690855
304,Bbraun B3 Renovation Project ,Precon Design / Assist Service,Irvine, 441 OC , Industrial , Competitive , Design/ Assist , Frank , Est. ,Lost,1197400
306,Temecula Health Center,Memmory Care and OSHPD Skilled Nursing,Temecula, 440 RS , Hospital , Select Bid List , Engineered , Jeff P. , Est. ,Lost,2376772
307,B|Braun Medical Duplex Gown Rooms,Ineterlocks at gown rooms.,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,16036
308,Oxford Academy  Modernization ,FA and Instrusion System,Cypress, 441 OC , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,Awarded,18000
310,Buzztime T.I.,Office Tenant Improvement,Carlsbad, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Lost,443565
313,Title 24 Carlsbad Spencers Store,Title 24 acceptance testing,Carlsbad, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1700
315,Blizzard B2 Floor 2,Office Tenant Improvement,Irvine, 441 OC , TI , Budget , Engineered , Frank , Est. ,Awarded,130807
316,Regus new circuits and outlets,New outlets and circuits,Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2480
317,Valvoline 2 new circuits and outlets for Datacom,New outlets for datacom,Santa Fe Springs, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2797
319,OCC Clark Center lighting ,install over 100 CF light fixtures,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,34716
326,"Hoag HC Tustin Legacy PT, IM, HOI Suite",Partial 3rd floor TI,Tustin, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Awarded,459492
331,KabaFusion Light fixture rework,Rework one fixture with new control,Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,970
332,San Manual South Casino Entry,Casino Tenant Improvement,Highland, 440 RS , Specialty , Budget , Engineered , Frank , Est. ,Lost,1855122
334,Chapman Parking Structure E ballast replacement,Replace 3 ballast and lamps,Orange , 441 OC , Parking Structure , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,22500
335,AAA Tustin Add ground bar at MPOE,Add ground bar at MPOE,Tustin, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1200
336,HHNB Breast Center MRI Replacement,Replacing existing MRI,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Steve  , Est. ,Awarded,65625
337,Experian Phase 2 Building C ,"Tenant Improvement 2,3,4 Floors",Costa Mesa, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Lost,817710
340,Deutsche Santa Ana IR scan,IR scan,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,7900
342,Anaheim Corp refeed outside lighting,Refeed outside lighting,Anaheim, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,Lost,990
343,CCH - 9th Floor Conrerence Room,Change of use remodel,Los Angeles, 11 LA , TI , Select Bid List , Engineered , Steve  , Est. ,Lost,14044
348,Blizzard B16 Overwatch,Reconfigure walls and ceilings,Irvine, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Awarded,38242
351,PSJMC Pharmacy UPS,Pharmacy Remodel/ HVAC work,Burbank, 11 LA , Hospital , Select Bid List , Engineered , Don V , Est. ,Lost,220687
355,Paciolan,Office Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Awarded,681282
356,"B|Braun Medical, Duplex",Power for floor polishing machines,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,13745
358,AAA new cable and backboard Ladera Ranch,Add new backboard and cable,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1150
364,The District at South Bay / Fashion Outlets of LA,UG Infrastructure Impovements,Carson, 11 LA , Site , Select Bid List , Engineered , Steve  , Est. ,Lost,897922
365,GPISC Restaurant ,Restaurant Tenant Improvement,Irvine, 441 OC , TI , Budget , Engineered , Frank , Est. ,Awarded,61485
367,FVRH replace bad breakers,Replace bad breakers in existing gear,Fountain Valley, 441 OC , Hospital , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,14530
370,Compass T.I.,Office Tenant Improvement,Pasadena, 11 LA , TI , Competitive , Engineered , Frank , Est. ,Lost,121661
383,Lakeshore Plaza @ Dos Lagos,Ground Up Office Building,Corona, 440 RS , Shell , Budget , Engineered , Frank , Est. ,Lost,2095446
384,Greystar,Office Tenant Improvement,Newport Beach, 441 OC , TI , Competitive , Engineered , Steve  , Est. ,Lost,347358
387,"B|Braun Medical, 2nd Floor QC Offices",Hook up modualr furniture,Irvine, 441 OC , TI , Select Bid List , Design/Build , Brian , S.P. ,Awarded,11353
1,The Schools First Credit Union,New Construction,Tustin, 441 OC , Comercial , Negotiated , Design/ Assist , Frank , Est. ,Lost,24897
2,"B-Braun Medical, TCU Skid",Roof Mounted TCU,Irvine, 441 OC , Industrial , Competitive , Engineered , Brian , S.P. ,Awarded,42429
5,"B-Braun Medical, Valencia ",Exterior Light Study,Tustin, 441 OC , Industrial , Budget , Design/Build , Brian , S.P. ,Awarded,3600
6,OCC Art Building TI room 322,New lighting and outlets,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,21870
8,B-Braun Medical-Duplex,Assist Siemens,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,Awarded,7040
9,Wewalk Irvine - The Boardwalk,Office Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Lost,773939
10,AeRobotix - GKN,Robotic Booth,Garden Grove, 441 OC , Industrial , Select Bid List , Design/ Assist , Brian , S.P. ,Lost,6430
11,AAA starter replacement,Replace 3 starters and pilot lights,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2472
13,B|Braun Medical Components Office,TI Remodel,Irvine, 441 OC , TI , Select Bid List , Design/Build , Brian , S.P. ,Awarded,15875
14,Joey's - DTLA,Resturant TI,LA, 11 LA , TI , Select Bid List , Engineered , Steve  , Est. ,Awarded,780419
19,Smartstop new circuit and data for lobby sign 4th fl,Circuit for 4th fl lobby elev. Sign,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3230
20,Mesa Water District HVAC & Roof Replacement,Connection  Rooftop HVAC equip.,Costa Mesa, 441 OC , Comercial , Select Bid List , Engineered , Don V , Est. ,Awarded,120496
22,AAA San Diego Demark,Work at Demark,San Diego, 441 OC , TI , Competitive , Design/Build , Doyle , S.P. ,Awarded,1530
27,5 Peters Canyon Suite 300 new circuit,New circuit and outlet suite 300,Irvine, 441 OC , TI , Competitive , Design/Build , Doyle , S.P. ,Awarded,1300
37,AAA Mission Viejo Demark,Demark Work,Mission Viejo, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,3900
38,AAA San Clemente Demark,Demark Work,San Clemente, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,3220
41,Walnut Village Phase 1 - Façade & Site,Site Improvements,Irvine, 441 OC , Site , Competitive , Engineered , Frank , Est. ,Lost,46885
42,B|Braun Medical Mixing Tanks,Structural Upgrades,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,26720
44,B|Braun Medical 5 kV Switchgear,Existing Gear Mods Service A,Irvine, 441 OC , Industrial , Select Bid List , Design/ Assist , Brian , S.P. ,Awarded,63567
48,AAA new outlets 4th floor exec office,outlet for TV for 4th floor office,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,900
52,New Leibert units for MOB,Work for Airtronix new Leibert units,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6964
55,Screenworks Shop Relocation,Design build to wire new shop,Corona, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,91700
58,Providence Breeze EPO covers,20 EPO covers,Torrance, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,1674
59,"B-Braun Medical, Sub-A Labeling",Trace and Label Shunt Wiring,Irvine, 441 OC , TI , Negotiated , Design/Build , Brian , S.P. ,Awarded,19500
61,"B|Braun Medical, Tustin ",Stability Chamber,Tustin, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,9928
64,"B-Braun Medical, Vault Conduits",Trace conduits,Irvine, 441 OC , Industrial , Budget , Design/Build , Brian , S.P. ,Awarded,8800
66,Waddell & Reed new outlets,15 new outlets on existing circuits,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,8680
68,Boardwalk 5th Floor Spec Suite,TI,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Lost,498754
72,Fountain Valley Regional Hospital Replace SqD meter,Replace defective SqD power meter,Fountain Valley, 441 OC , Hospital , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1878
74,AAA Costa Mesa Fullfillment services,Change panel and add 2 circuits,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,5388
75,Tuscany Cheese new outlet and data stub,New outlet and data stub,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,988
76,Thales roof top antenna power and contorls,New power for roof antennas and control,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,25979
78,AAA Redlands Convert pole heads to LED,Convert 7 pole heads to LED,Redlands, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,5880
80,Samueli Academy Student Innovation Center,New School Buildings and Site work,Santa Ana, 441 OC , Specialty , Select Bid List , Engineered , Steve  , Est. ,Awarded,2164479
89,B|Braun Medical LED Upgrade,Glass Line Lamp Replacement,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,Awarded,9500
90,"B|Braun Medical, New Office at E3",TI for New Office,Irvine, 441 OC , TI , Select Bid List , Design/Build , Brian , S.P. ,Awarded,15054
91,Prime West Anaheim,Pharmacy Remodel,Anaheim, 441 OC , Hospital , Select Bid List , Engineered , Don V , Est. ,Awarded,88341
95,AAA Cafeteria generator tie and support,Tie CF genset to panel,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1810
96,Good Shephard Lutheran Youth Center,New lighting and power for roof work,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,5840
99,"B|Braun Medical, Excel Overwrap",Add receptacles for power supplies,Irvine, 441 OC , TI , Select Bid List , Design/Build , Brian , S.P. ,Awarded,1551
100,Charter TV outlet   ,Add outlet for TV and stub,Ontario, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,875
101,Deutsche bank outage support,Stand by for utility outage,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,985
102,Rockwell GFCI main recertify,Test/recertify main breaker GFCI,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4640
103,"B-Braun Medical, QC Offices Phase 2",Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Design/Build , Brian , S.P. ,Awarded,10830
110,HHC Foothill Ranch,MOB Tenant Improvement,Foothill Ranch, 441 OC , TI , Competitive , Engineered , Don V , Est. ,Awarded,258664
116,"B|Braun Medical, Excel Line 1",CBM/Excel machine,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,26820
117,"B|Braun Medical, HVLD Machine",New HVLD Machine,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,9140
118,"B|Braun Medical, Excel Line 2",2A PM & Packing Station,Irvine, 441 OC , Industrial , Select Bid List , Engineered , Steve  , Est. ,Awarded,86812
119,AAA-LA HQ relocate floor outlet,Relocated floor outlet,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,977
124,"B|Braun Medical, T&M Research - MCC","Research MCC< PNA, and main conduits",Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,12660
125,"B|Braun Medical, Re-Inspection Power",Add (4) drops for Re-inspection tables,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,15260
127,AAA Costa Mesa 2 load studies,2 load studys ,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2400
128,Kaiser Bellflower 6th Floor TI Family Medicine,MOB Tenant Improvement,Bellflower, 11 LA , TI , Budget , Engineered , Jeff P. , Est. ,Awarded,787957
129,Walnut Village Phase II Façade,Facade Retrofit,Irvine, 441 OC , Site , Select Bid List , Engineered , Frank , Est. ,Lost,383122
130,HHC TL Third Flr. Women's OB-GYN,MOB Tenant Improvement,Tustin, 441 OC , TI , Select Bid List , Engineered , Don V , Est. ,Lost,261049
131,Charter add 2 new outlets,Add 2 new outlets on existing circuits,Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1500
133,AAA PDU replacement,Replace PDU and add new circuits,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,73900
137,AAA Mail room new circuits,4 new circuits,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,5923
138,Northrup Grumman/Global Finishing Soulutions,Retrofit Existing Paint Booth Bldg 401,Palmdale, 441 OC , Industrial , Select Bid List , Engineered , Brian , S.P. ,Awarded,30780
139,Pimco 5th floor outlet and data stub,New outlet and data stub,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2997
141,OCC Drama area panel and outlets,New sub panel and outlets,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,9242
145,Providence Breeze lighting for Statue,2 new lights for statue,Torrance, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2182
146,B|Braun Medical Duplex Door Interlocks,Connect and disconnect 1 air handler,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,4427
147,B|Braun Medical Guard Shack,Temp power for 01-01-19 Shutdown,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,1580
161,Charter Cerritos 2nd floor move out,Make safe 2nd floor and convert outlet 8th,Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,940
162,HHI - LDRP Remodel,TI of existing 1st Floor of Patient Tower,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Steve  , Est. ,Awarded,1281851
