,Project Name,City,Local,Project Type,Bid Type,Design Type,Estimator,DEPT, Base Bid ,Bid Status
294,AAA Costa Mesa add lights to womens restrooms,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,3697,Awarded
295,Westpark Plaza,Irvine, 441 OC , Site , Select Bid List , Engineered , Frank , Est. ,259356,Lost
296,Crossroads,Irvine, 441 OC , Site , Select Bid List , Engineered , Frank , Est. ,483466,Lost
298,"Blizzard 6 jenner, Temp Space",Irvine, 441 OC , TI , Select Bid List , Design/Build , Jeff S , P.M. ,61721,Lost
299,Charter Lighitng Repair Ontario,Ontario, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1800,Awarded
300,Infinite Electronics TI,Irvine, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,35680,Lost
302,Blizzard B1 Museum,Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,140148,Lost
304,Davis Property Insta Hot circuit,Westminster, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1350,Lost
305,San Antonio Regional Hospital MOB,Ontario, 441 OC , Hospital , Select Bid List , Engineered , Brian , Est. ,2787581,Lost
306,Blizzard- Furure Power Pole Purchase,Irvine, 441 OC , TI , Select Bid List , Engineered , Jeff S , P.M. ,33950,Awarded
307,Clineva 400 amp service Laguna Hills,Laguna Niguel, 441 OC , Site , Select Bid List , Engineered , Doyle , S.P. ,49927,Lost
308,PIMCO 3rd floor conference room poke thru install,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,6988,Awarded
310,HHI Cath Lab,Irvine, 441 OC , Hospital , Competitive , Engineered , Jeff P. , Est. ,300740,Lost
311,Bbraun load studies for 7 locations,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,9800,Lost
312,Deutsche IR scan for Santa Ana,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,7900,Awarded
313,Deutsche IR scan for LA,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,3950,Lost
314,Charter troubleshoot outside lighting,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1000,Awarded
315,HHC Tustin Legacy MOB T.I. ,Tustin, 441 OC , TI , Competitive , Engineered , Steve  , Est. ,1060560,Awarded
316,Swift Engineering 50 and 20 amp new circuits,San Clemente, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,11100,Lost
317,AAA Costa Mesa elevator Surge protection installation,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,10582,Awarded
318,Good Shepherd remove 2 fixtures in sanctuary,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,390,Lost
319,Smartstop connect new furniture cubicals,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2620,Awarded
320,Charter new cubical and floor outlets,Garden Grove, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,12900,Lost
321,Charter replace CF switch,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,400,Lost
322,Ricoh - California Warehouse Budget,Riverside, 440 RS , TI , Budget , Design/Build , Frank , Est. ,6210003,Lost
323,HHI Bloomenergy Peer Review,Newport Beach, 441 OC , Specialty , Negotiated , Engineered , Frank , Est. ,7200,Lost
324,Bbraun outlets for new office space Main St.,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,9977,Lost
325,Bbraun Cube power for Kaizon Room,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,6000,Lost
326,ABM Roof top conduit resupport,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,5480,Lost
327,Bbraun Conductivity meter installation,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,7796,Lost
328,Equity Patners New outlets for Time Warner Suite,Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1788,Lost
329,Youngs Market 3 new tv outlets and stubs,Tustin, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1350,Lost
330,HHNB EAST TOWER BRANDING,Newport Beach, 441 OC , TI , Select Bid List , Design/ Assist , Bill  , P.M. ,841846,Awarded
331,Lido Fertility Clinic Dimmer and move outlets,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1774,Lost
0,Bbraun Big Warehouse Fans,Irvine, 441 OC , Comercial , Select Bid List , Engineered , Doyle , S.P. ,62284,Awarded
1,Pathway Capital,Irvine, 441 OC , TI , Budget , Design/Build , Brian , Est. ,1426898,Lost
2,Epson 5th floor conference room relamp,Long Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1770,Awarded
5,Smartstop new outlets in office,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1310,Awarded
9,Blizzard B15- Audit,Irvine, 441 OC , TI , Negotiated , Engineered , Jeff S , P.M. ,9891,Awarded
10,Blizzard B16- Audit,Irvine, 441 OC , TI , Negotiated , Engineered , Jeff S , P.M. ,5538,Awarded
11,HCTV ,Irvine, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,624224,Awarded
14,Toy Story Parking Lot Expansion,Anaheim, 441 OC , Site , Select Bid List , Engineered , Brian , Est. ,260425,Lost
15,Charter Add outlet in office room 103,Culver City, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,488,Awarded
21,CVX Building 510,El Segundo, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,35900,Lost
22,Target Parking,Irvine, 441 OC , Parking Structure , Select Bid List , Engineered , Steve  , Est. ,246018,Lost
23,Captivate conduit for SmartStop,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1900,Awarded
26,Blizzard B6 Budget,Irvine, 441 OC , TI , Budget , Design/Build , Steve  , Est. ,818178,Lost
27,Behr Paints Audit and Metering,Santa Ana, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,48630,Awarded
28,Lakeshore Towers Campus Optical Network,Irvine, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,10366,Lost
29,CTA replace 2 exit signs,Orange , 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,600,Awarded
30,CTA replace ballast ,San Bernardino, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1000,Awarded
31,OCC machine shop power,Costa Mesa, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,14231,Awarded
33,Bbraun replace 7 restroom fixtures,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,6126,Awarded
34,Beach Draperies remove drops,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,955,Awarded
36,Union Bank OC Office,Orange , 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,341059,Lost
37,Discovery Center Phase 2 & 4,Irvine, 441 OC , Comercial , Competitive , Engineered , Brian , Est. ,4987330,Lost
38,Blizzard B9 - QA Localization,Irvine, 441 OC , TI , Negotiated , Engineered , Steve  , Est. ,758475,Awarded
39,Blizzard B15 - QA Localization,Irvine, 441 OC , TI , Negotiated , Engineered , Steve  , Est. ,763485,Awarded
40,Blizzard B16 - QA Localization,Irvine, 441 OC , TI , Negotiated , Engineered , Steve  , Est. ,4055,Awarded
41,Blizzard Amenity Pricing,Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,84780,Lost
42,CNB Project Ascend (Phase 1),Los Angeles, 11 LA , TI , Select Bid List , Engineered , Steve  , Est. ,4561181,Lost
43,SpaceX Suite 302 TI,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,10053,Awarded
44,Blizzard Bld 20 Boring to 8 Pasteur ,Irvine, 441 OC , Site , Negotiated , Engineered , Todd L , P.M. ,136540,Awarded
45,Flying J and Pilot Parking Pole WiFi project,Lodi, 11 LA , Site , Select Bid List , Design/Build , Doyle , S.P. ,16500,Awarded
47,Deutsche Bank LA power outage,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2600,Awarded
50,Bbraun Lab remodel,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,57547,Awarded
53,Porsche Carson pole lights and kitchen outlets,Carson, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,4900,Awarded
54,Charter Ontario new outlet in outside break area,Ontario, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,980,Awarded
55,Smartstop flag pole research,Ladera Ranch, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,480,Awarded
56,Charter LA Add outlet,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,998,Awarded
57,Kaiser Bellfower Optimetry,Bellfower, 441 OC , TI , Budget , Engineered , Jeff P. , Est. ,741293,Awarded
59,PIMCO 11 and 12 floor restack,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,8988,Awarded
60,Lakeshore Towers Signage Sub Metering,Irvine, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,1646,Awarded
62,Blizzard B1 Budget,Irvine, 441 OC , TI , Budget , Engineered , Jeff S , P.M. ,139892,Lost
63,Kaiser Bellfower Façade,Bellfower, 441 OC , Comercial , Select Bid List , Engineered , Steve  , Est. ,90350,Awarded
64,Cylance Tenant Improvement,Irvine, 441 OC , Comercial , Select Bid List , Engineered , Steve  , Est. ,2356168,Lost
65,Blizzard Bld 2 conf room 155 lighitng,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2600,Awarded
66,Crown Valley Financial panel survey,Mission Viejo, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,13900,Awarded
68,UCI Medical Security Project,Orange , 441 OC , Hospital , Competitive , Design/ Assist , Doyle , S.P. ,368000,Lost
69,Anahiem Ducks T.I. Space,Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,671183,Awarded
71,Deutsche relocate lighitng and refeed panel,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,28118,Awarded
74,"Edwards Life Sciences, Resilia Phase 3",Irvine, 441 OC , Industrial , Negotiated , Engineered , Frank , Est. ,117500,Awarded
75,B-Braun Mixing Tank Replacement,Irvine, 441 OC , Specialty , Select Bid List , Engineered , Brian , S.P. ,26900,Awarded
76,Repair lobby lights Peters Canyon,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,335,Awarded
77,AAA Burbank add outlet,Burbank, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1987,Awarded
79,Deutsche File room panel breakers,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2130,Awarded
80,HHI BELIMED WASHER,Irvine, 441 OC , Hospital , Select Bid List , Design/ Assist , Bill  , P.M. ,12166,Awarded
81,"Cerritos tower 2"" sleeve for Kaba Fusion 5th floor",Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,775,Awarded
83,Bbraun Excell 10 overwrap - CBM,Irvine, 441 OC , Industrial , Budget , Design/Build , Brian , S.P. ,68900,Awarded
85,Blizzard B5 Renovation,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,489936,Lost
88,AAA Costa Mesa UPS panel and outlets,Costa Mesa, 441 OC , TI , Select Bid List , Engineered , Brian , S.P. ,87717,Lost
90,B-Braun Excel Line 10 - Dennis Phu,Irvine, 441 OC , Industrial , Negotiated , Engineered , Brian , S.P. ,24000,Awarded
91,B-Braun Prewire 480v + 240v panel for shut down ,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,25078,Awarded
92,B-Braun Blowmolder and Filler,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,16500,Awarded
94,Bbraun (For CBM),Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,6560,Awarded
95,Edwards Life Sciences,Irvine, 441 OC , Comercial , Select Bid List , Engineered , Brian , S.P. ,22656,Lost
96,B-Braun Duplex Facility,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,14815,Lost
97,B-Braun Duplex Facility,Irvine, 441 OC , Industrial , Negotiated , Engineered , Brian , S.P. ,18785,Lost
98,B-Braun Main Plant,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,13005,Awarded
99,B-Braun E-3,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,4890,Awarded
100,B-Braun E-3,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,3100,Awarded
102,Hoag Foundation T.I.,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,47223,Lost
104,B-Braun - Main Plant PIC,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,13040,Lost
105,B-Braun - Duplex Bldg,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,36100,Awarded
106,B-Braun - CBM Vacuum Pump,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,8960,Awarded
107,Edwards Life Science,Irvine, 441 OC , Industrial , Select Bid List , Design/ Assist , Brian , S.P. ,10160,Awarded
108,"B-Braun 2801 McGaw Ave, Suite 100",Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,810,Lost
114,Weiland siding new service and feeders,Oceanside, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,155000,Awarded
116,EY LAO ,Los Angeles, 11 LA , TI , Select Bid List , Engineered , Steve  , Est. ,3439385,Lost
118,Blizzard B24- demo,Irvine, 441 OC , TI , Select Bid List , Engineered , Jeff S , P.M. ,10978,Lost
121,B-Braun - Main Plant,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,40735,Awarded
122,Caremore Vitural Call Center,Cerritos, 11 LA , TI , Competitive , Engineered , Frank , Est. ,142145,Awarded
123,351 Lido Suite 514--two new circuits,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2823,Awarded
125,HHNB Breast Center Tomo Upgrade,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Bill  , P.M. ,6762,Awarded
127,Edwards Life Science,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,14711,Awarded
128,B|Braun 1200 Valencia,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,3815,Lost
130,Blizzard B5 Incubation Demo & TI,Irvine, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,1092535,Lost
131,AAA Bld D load study for 7 days,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1100,Awarded
132,B-Braun ,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,4527,Awarded
133,Alorica,Irvine, 441 OC , TI , Budget , Engineered , Frank , Est. ,2163331,Lost
137,Blizzard B1 Restrooms,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,49921,Awarded
138,B|Braun Excel  10,Irvine, 441 OC , TI , Negotiated , Design/Build , Brian , S.P. ,3946,Awarded
139,Ladera Sport office oultet,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,400,Awarded
141,B|Braun Lab,Irvine, 441 OC , TI , Negotiated , Design/Build , Brian , S.P. ,2965,Awarded
142,Epson Carson Showroom,Carson, 11 LA , TI , Budget , Design/Build , Frank , Est. ,67187,Lost
144,Operating Engineers replace 2 panels,City of Industry, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,12300,Awarded
145,B-Braun Titan,Irvine, 441 OC , Industrial , Select Bid List , Engineered , Brian , S.P. ,15261,Awarded
146,B|Braun Boilder #1,Irvine, 441 OC , Industrial , Select Bid List , Engineered , Brian , S.P. ,22235,Awarded
147,AAA La Quinta troubleshoot voltage issue,La Quinta, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,4920,Awarded
148,Rockwell replace 2 and add 2 car chargers,Irvine, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,18640,Awarded
151,Blizzard B2 Audit,irvine, 441 OC , TI , Select Bid List , Design/ Assist , Jeff S , P.M. ,10752,Awarded
152,Blizzard B21 Audit,Irvine, 441 OC , TI , Select Bid List , Design/ Assist , Jeff S , P.M. ,8818,Awarded
153,"B|Braun Medical, Ontario ",Ontario, 441 OC , TI , Select Bid List , Design/Build , Brian , S.P. ,27161,Awarded
154,Netflix CUE,Los Angeles, 11 LA , TI , Select Bid List , Engineered , Jeff P. , Est. ,4760164,Lost
156,Bob Briggs Fire job,Laguna Hills, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,13650,Awarded
159,Propel Media,Irvine, 441 OC , TI , Budget , Engineered , Frank , Est. ,509316,Lost
163,HHI Womanology Licensing,Irvine, 441 OC , TI , Select Bid List , Engineered , Jeff P. , Est. ,13843,Lost
164,"B|Braun Medical, Irvine",Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,14334,Awarded
165,Space X,Hawthorne, 441 OC , Industrial , Select Bid List , Engineered , Brian , S.P. ,89731,Lost
166,Canyon Springs MOB,Riverside, 440 RS , Comercial , Budget , Engineered , Frank , S.P. ,672570,Lost
167,Blizzard B6 Restack SF & D,Irvine, 441 OC , TI , Budget , Design/ Assist , Frank , S.P. ,547757,Lost
168,AAA Mission viejo connect new whip for furiture,Mission Viejo, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,710,Awarded
169,B|Braun Medical,Irvine, 441 OC , TI , Select Bid List , Design/ Assist , Brian , S.P. ,9684,Awarded
170,AAA Woodland Hills replace parking lot pole,Woodland Hills, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,3050,Awarded
171,AAA Long Beach furniture reconnect and new circuit,Long Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1970,Awarded
172,Destche Bank Santa Ana Breaker replacemetn,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1100,Awarded
173,Spectrum Giant Wheel Upgrade,Irvine, 441 OC , Specialty , Negotiated , Engineered , Frank , Est. ,16331,Awarded
174,Crown Commerce Center,Mission Viejo, 441 OC , Comercial , Select Bid List , Design/ Assist , Brian , S.P. ,17965,Lost
175,Loma Linda Oncology Pharmacy Remodel,Loma Linda, 440 RS , TI , Select Bid List , Engineered , Frank , Est. ,32163,Awarded
176,HHNB CATH LABS UPS,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Bill  , P.M. ,157436,Awarded
177,Party City Title 24,Chino, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,1500,Awarded
178,Space X,Hawthorne, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,8451,Lost
179,B-Braun Medical,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,2330,Lost
180,Broadway 4th Floor Corridor - Budget,Irvine, 441 OC , TI , Select Bid List , Design/Build , Steve  , Est. ,51650,Lost
182,B|Braun Medical,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,31798,Lost
185,B|Braun Medical,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,5658,Awarded
186,Good Shephard Lutheran Parking Lot replacement,Irvine, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,48210,Awarded
187,B|Braun Medical,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,14000,Awarded
188,B|Braun Medical,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,15000,Awarded
190,Hoag Tustin Legacy MRI/CT Suite,Tustin, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,161527,Awarded
192,Pimco 18th Floor Door Relocations,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Frank , Est. ,12784,Lost
194,B|Braun Medical,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,154760,Lost
195,B|Braun Medical,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,38200,Lost
196,B|Braun Medical,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,290000,Lost
197,TV outlet for Spectrum office in Cerritos Tower,Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,600,Awarded
198,Ladera Sport outlet in server room,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1670,Awarded
199,17901 Von Karman Switchgear PM,Irvine, 441 OC , Comercial , Competitive , Design/Build , Frank , Est. ,27646,Lost
200,Blizzard B3-RR Upgrade-1st & 2nd Flr.,irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,33435,Awarded
201,Amarith Café T.I.,Newport Beach, 441 OC , TI , Budget , Engineered , Frank , Est. ,152713,Lost
202,FVRMC AAAH OSHPD 3 Upgrades,Fountain Valley, 441 OC , Hospital , Competitive , Engineered , Frank , Est. ,69439,Lost
203,The Trade Desk,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,226054,Lost
205,B|Braun Medical,Irvine, 441 OC , TI , Select Bid List , Design/Build , Brian , S.P. ,7588,Awarded
210,Long Beach Exchange,Long Beach, 441 OC , Comercial , Select Bid List , Engineered , Brian , S.P. ,4750,Lost
211,"ACBCI - Museum, Spa & Trail ",Palm Springs, 477 SB , Site , Select Bid List , Engineered , Frank , Est. ,9487326,Lost
212,"B|Braun Medical, Load study panel PPD",Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,800,Awarded
213,AAA add new outlets and circuit 1st floor,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1977,Awarded
215,R&D Incubator,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , Est. ,3910,Awarded
216,"B|Braun Medical, Boiler #5 replacement",Irvine, 441 OC , Industrial , Competitive , Engineered , Brian , S.P. ,232447,Lost
217,Scripps Midroll,Los Angeles, 11 LA , TI , Select Bid List , Design/Build , Jeff P. , Est. ,8024,Awarded
218,"B|Braun Medical,  pedestrian lighting phase 2",Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,16958,Awarded
219,Fire pump drawing assit for Redhawk,Orange , 441 OC , TI , Negotiated , Design/ Assist , Doyle , S.P. ,800,Awarded
220,Blizzard B2 RR Upgrade,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,35076,Lost
221,"Boardwalk PCO 1008, Lobby Wall Revisions",Irvine, 441 OC , TI , Negotiated , Engineered , Frank , Est. ,7742,Awarded
223,Boardwalk North AV Room Exhaust,Irvine, 441 OC , TI , Negotiated , Engineered , Frank , Est. ,2493,Awarded
224,"B|Braun Medical, Main Hallway LED lamp retrofit",Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,5796,Awarded
225,"B|Braun Medical, E3 lamp replacement",Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,7880,Awarded
227,B|Braun Medical,Irvine, 441 OC , Comercial , Negotiated , Design/Build , Brian , S.P. ,3000,Awarded
228,Murchison & Cumming T.I.,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,74143,Lost
229,"18201 Von Karmna, Spec Suite 150",Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,93263,Lost
232,D.R. McNatty & Associates,Mission Viejo, 441 OC , TI , Select Bid List , Engineered , Brian , S.P. ,17362,Lost
234,Car wash service replacement ,Garden Grove, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,52490,Awarded
235,Boy Scouts Fire Damage,Orange , 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,19500,Awarded
238,"B-Braun Medical, E3 Equipment Vibration Project ",Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,241783,Lost
241,"B|Braun Medical, remove and replace panel PGD",Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,8894,Lost
242,"B|Braun Medical, TI",Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,5398,Lost
243,B|Braun Medical - Integrated Interiors - TI,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,9873,Awarded
244,Blizzard B10 - Security,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,22863,Lost
245,Malcom Intl for Datacomm,Corona, 441 OC , TI , Negotiated , Design/ Assist , Doyle , S.P. ,500,Awarded
246,Old Republic,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,90033,Lost
247,"B|Braun Medical, HVLD Excel Overwrap 2-4-5",Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,58480,Awarded
248,"B|Braun Medical, chemical pumps at plastics",Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,2200,Lost
249,"B|Braun Medical, mix room control panel upgrade",Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,6010,Lost
250,Chapman Fountain Lighting Installation,Orange , 441 OC , Site , Select Bid List , Design/ Assist , Doyle , S.P. ,25000,Awarded
251,Vyaire Generator Removal,Palm Springs, 477 SB , Site , Budget , Design/Build , Frank , Est. ,7727,Lost
253,"B|Braun Medical, replace ejector pump",Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,10592,Lost
255,5000 Birch St. Suite 410 spec Suite and  Demo,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,93271,Lost
256,OCC Temp power oultet install and stub,Costa Mesa, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,6456,Awarded
257,New circuit for sign Paragon Mgmt,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1988,Awarded
259,"B|Braun Medical, Load Shed wire trace",Irvine, 11 LA , TI , Select Bid List , Design/Build , Brian , S.P. ,3314,Awarded
260,Local 441 OCTT Exit signs and E ballast,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1800,Awarded
262,Aston Office/DMG,Carlsbad, 441 OC , TI , Select Bid List , Design/Build , Brian , S.P. ,6986,Lost
263,Baxter Manufacturing Room & Dust Collection Unit,Irvine, 441 OC , Industrial , Budget , Engineered , Frank , Est. ,145483,Lost
265,"B|Braun Medical, Power outlets at E3 Shubert/Cell 40",Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,20972,Lost
266,Arena Fitness Center,Anaheim, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,226285,Awarded
269,"B|Braun Medical, Excel 2-4-5",Irvine, 441 OC , TI , Budget , Design/Build , Brian , S.P. ,29400,Lost
270,Verizon Service Upgrade Project,Mission Viejo, 441 OC , TI , Select Bid List , Engineered , Brian , S.P. ,85560,Awarded
271,Jacobs Pasadena,Pasadena, 11 LA , TI , Select Bid List , Engineered , Steve  , Est. ,146842,Lost
272,HHNB Big 18 Switchgear,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Bill  , P.M. ,76413,Lost
273,Epson Conference room data and lighting,Long Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,7000,Awarded
275,Blizzard B16- Team 4 Event space budget,irvine, 441 OC , TI , Select Bid List , Design/ Assist , Jeff S , P.M. ,38225,Lost
276,9740/9750 Irvine Blvd Renovation,Irvine, 441 OC , Comercial , Select Bid List , Engineered , Steve  , Est. ,331709,Lost
277,Blizzard B2 RR Upgrades,Irvine, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,34353,Lost
